"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"280","SOX5","2",3.17563092203405,2.27765385092796,311070449.5,0.939762496768825,0,0,99.4742567077593,40.7005615824293
"281","FMN2","2",2.63708484808025,1.84626633890951,310731557.5,0.938738683698291,0,0,98.56780275562,44.1783732440134
"282","COL5A3","2",1.90931268712743,1.79938263966777,309745481.5,0.935759688923142,0,0,90.6816533720087,9.22528287423553
"283","AQP4","2",1.9080850656048,1.82677072838558,309694235,0.935604870171094,0,0,90.1559100797679,5.54916762485627
"284","CPE","2",2.23744167032196,1.7726782390013,308548153,0.932142487667217,0,0,95.6127628716461,33.8549217617357
"285","ADCY2","2",2.64055176019842,1.91493971785538,308279305.5,0.93133028323489,0,0,98.5859318346628,41.5537669349598
"286","NKAIN3","2",2.46334392983195,2.09222644809682,307938560,0.930300870629618,0,0,95.1776649746193,21.3517972304154
"287","SPARCL1","2",2.56910659088727,1.97631742704217,307852957.5,0.930042260339702,0,0,96.5917331399565,36.4395340698895
"288","CLU","2",2.39767488620947,1.82129544446765,307748003,0.929725186496379,0,0,96.7005076142132,41.2004865936776
"289","GNA14","2",1.99492452238007,1.89997515426506,307724246.5,0.929653416684137,0,0,89.1225525743292,6.76065256878135
"290","ABLIM1","2",2.25785195016653,1.73211931388446,307402321,0.928680860428345,0,0,96.8455402465555,34.5781466113416
"291","LINC00299","2",1.68162314825542,1.58212642378498,306597777.5,0.926250286230331,0,0,88.9593908629442,8.41207152260494
"292","FGFR3","2",1.6073862103408,1.52666805389799,306576477,0.926185936141486,0,0,88.8506163886875,6.0057658017964
"293","PARD3","2",2.34920477029813,1.89422483079631,306476537.5,0.925884012914137,0,0,97.1537345902828,25.8344581646086
"294","ATP1B2","2",1.917060110625,1.70994680438382,305871391,0.924055829019894,0,0,90.6635242929659,16.3475478678198
"295","RANBP3L","2",1.6968891084222,1.64493999780297,305497379.5,0.92292591783217,0,0,86.9470630891951,3.42281991034678
