"","AD","HC"
"LAG3",-0.0253396361210679,-0.0193778230881281
"SDR9C7",-0.0267397960081421,-0.0212087723605205
"NR1H4",-0.0216524931437127,-0.02272942081802
"HNF1A",-0.0162597532889181,-0.01455884044585
"ACOT1",-0.0201444955089366,-0.0191685050412234
"CETP",-0.0140681002726634,-0.0194545879278113
"HPR",-0.0198083806763409,-0.0218977022706598
"ACE",-0.0224579634274709,-0.0245785607809448
"NFS1",-0.0205858199390043,0.01569664674312
"TM6SF2",-0.017977495235091,-0.00955809276121215
"NDUFA13",-0.000546441275470623,-0.0352783138219444
"SULT2A1",-0.0201580295376712,-0.0240169678288498
"SYNGR4",-0.0216021549715949,-0.0217926185707567
"FAM83E",-0.0172396670866167,-0.0280336878935577
"S100A8",0.0162683335202311,-0.0543580948538193
"IL10",-0.0109208494956225,-0.0328738095813148
"MRPL53",-0.0128657080433474,-0.013059306180145
"RAPSN",-0.0210470616639664,-0.0147598256608007
"CCDC89",-0.015931275720508,-0.0217340192061319
"GPR84",-0.00714089915749192,-0.0378192508282561
"TUBB3",-0.0174875248505469,-0.015625352858501
"VTN",-0.0243205452219215,-0.0222470593091035
"CTLA4",-0.0114588919138046,-0.0111963388455632
"EN2",-0.0215174416473225,-0.0195254974057324
"NDUFA11",-0.00944616917471308,-0.0138402798760604
"PDCD1",-0.0085628927559411,-0.0100325770572304
"CFI",-0.00701554876806355,-0.00870472461439
"C4A",-0.0104989270102544,-0.0117490855186381
"NTN3",-0.00743827527028699,-0.00946544034967129
"SP6",-0.0104970641166797,-0.00983757415863168
"ATP1A3",-0.0129212401030677,-0.0114837637514424
"CRHR1",-0.00666813107707333,-0.00583189596207242
