"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"140","LINC01250","2",1.41362219164071,1.24143301128306,45624541.5,0.868643942268534,0,0,82.6132404181185,12.6605103546254
"141","GALNT17","2",2.18548682542164,1.57492960147643,45592578,0.868035390385362,0,0,95.2961672473868,31.9053603628217
"142","SORBS2","2",2.10242982239521,1.48988911274462,45565888.5,0.86752724999129,0,0,93.2752613240418,34.9489098956341
"143","ST6GALNAC5","2",1.94297114699075,1.55509159196905,45512604,0.866512768385117,0,0,87.4912891986063,22.9932790557893
"144","DGKB","2",2.15141642417601,1.57283296294175,45503770.5,0.866344587708408,0,0,91.8118466898955,33.047374460412
"145","KSR2","2",1.75847941998146,1.33362229921554,45472307,0.865745555306568,0,0,90.9407665505226,26.6160319108245
"146","HECW1","2",2.0256478523076,1.47885997303536,45458780,0.865488015258586,0,0,93.3797909407666,30.7087044423802
"147","RGS6","2",2.01887541043305,1.63229797198078,45447631.5,0.865275759383305,0,0,87.2822299651568,21.5999125730834
"148","LINC01122","2",1.63620974376173,1.31828790844827,45181168.5,0.860202580274454,0,0,86.6898954703833,20.5945030326212
"149","LINGO2","2",2.25340456975635,1.67726005572182,45142167.5,0.85946004169152,0,0,92.2299651567944,28.8235615540134
"150","FRMPD4","2",2.18173735348063,1.53323844494427,45059407.5,0.857884377141288,0,0,93.6933797909408,34.0691765477296
"151","MIAT","2",1.60273887258727,1.25201696544646,45013215,0.857004919858342,0,0,87.6655052264808,24.1407573356647
"152","SHANK2","2",1.69961371439383,1.2720500692094,45000720,0.856767028019832,0,0,90.9407665505226,27.1132724987706
"153","FSTL4","2",1.53105525638983,1.31602021372306,44959543.5,0.855983070173618,0,0,81.9512195121951,13.6222064368067
"154","KIAA1211L","2",1.29296639271938,1.11384967274406,44907349,0.854989341036752,0,0,81.4982578397213,12.6714387191957
"155","SRRM3","2",1.49356058131385,1.1882248041951,44906819.5,0.85497925990602,0,0,87.6655052264808,19.7858040544233
"156","SHISA9","2",2.0270189994836,1.45709147413098,44809094.5,0.853118677279492,0,0,93.0313588850174,30.5338506092563
"157","FAM19A1","2",2.10817644675663,1.56594059893836,44757381.5,0.852134115403149,0,0,88.3275261324042,30.3152833178515
"158","CDH18","2",1.89462201476412,1.41601628884682,44671613,0.850501172133737,0,0,88.9895470383275,28.6487077208896
"159","CABP1","2",1.33686841669821,1.1211627338838,44619571,0.849510346438676,0,0,82.4738675958188,15.3215671274794
"160","PTPRR","2",1.40687599702866,1.16382162849983,44614779.5,0.849419121249063,0,0,82.9616724738676,16.4854379542102
"161","CACNG3","2",1.39573154435599,1.16277378039804,44610684,0.849341147177464,0,0,83.0313588850174,15.4199224086115
"162","CACNA1E","2",1.71644611893504,1.25633513488798,44459946.5,0.846471261542609,0,0,89.4076655052265,29.1295557619802
"163","ABLIM2","2",1.38751979497604,1.09988484166089,44428088.5,0.845864718269998,0,0,85.0522648083624,20.5726463034807
"164","LRFN5","2",1.90615392690768,1.35729687102789,44357808.5,0.844526659973837,0,0,91.4982578397212,31.1895524834709
"165","ANKRD30BL","2",1.82835568352971,1.30381947616635,44307278.5,0.843564621190327,0,0,91.2543554006969,31.7523632588383
"166","MTUS2","2",1.85442534586364,1.37427294843049,44231952,0.842130482769072,0,0,91.2891986062718,24.6325337413256
"167","SV2B","2",1.63912440201482,1.25119924961303,44195933.5,0.84144472789229,0,0,87.8397212543554,22.3375771815748
"168","CAMK2A","2",1.62722749372005,1.19563716526028,44185060.5,0.841237717251223,0,0,89.8606271777004,26.1788973280149
"169","SRRM4","2",1.59953503174912,1.21498031159292,44121667.5,0.840030780290942,0,0,88.2229965156794,22.4304682804218
